0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:41 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:41 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:42 +0900] "GET /BookMarket/cart/D160FB417EF129B400491B5D1B168DFE HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:42 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:42 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/cart/D160FB417EF129B400491B5D1B168DFE HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/cart/D160FB417EF129B400491B5D1B168DFE HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/cart/D160FB417EF129B400491B5D1B168DFE HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/cart/D160FB417EF129B400491B5D1B168DFE HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/cart/D160FB417EF129B400491B5D1B168DFE HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
