127.0.0.1 - - [17/Aug/2023:16:36:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:35 +0900] "GET /BookMarket/books HTTP/1.1" 200 4754
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:35 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:39 +0900] "GET /BookMarket/books HTTP/1.1" 200 4754
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:39 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:42 +0900] "GET /BookMarket/login HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:42 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:47 +0900] "POST /BookMarket/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:47 +0900] "GET /BookMarket/loginfailed HTTP/1.1" 200 3097
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:48 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:55 +0900] "POST /BookMarket/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:55 +0900] "GET /BookMarket/books/add HTTP/1.1" 200 7453
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:36:55 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:12 +0900] "POST /BookMarket/books/add?_csrf=cd3d887c-9b2e-4d35-a9ff-3ee158faa0a0 HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:12 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:17 +0900] "POST /BookMarket/books/add?_csrf=cd3d887c-9b2e-4d35-a9ff-3ee158faa0a0 HTTP/1.1" 200 7936
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:17 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:33 +0900] "POST /BookMarket/books/add?_csrf=cd3d887c-9b2e-4d35-a9ff-3ee158faa0a0 HTTP/1.1" 200 7936
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:33 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:36 +0900] "GET /BookMarket/home HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:36 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:38 +0900] "GET /BookMarket/books HTTP/1.1" 200 4992
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:38 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:42 +0900] "GET /BookMarket/books/book?id=ISBN1235 HTTP/1.1" 200 4312
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:42 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:42 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:48 +0900] "GET /BookMarket/books/add HTTP/1.1" 200 7453
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:38:48 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:39:25 +0900] "POST /BookMarket/books/add?_csrf=cd3d887c-9b2e-4d35-a9ff-3ee158faa0a0 HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:39:25 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [17/Aug/2023:16:39:33 +0900] "GET /BookMarket/home HTTP/1.1" 200 2574
