127.0.0.1 - - [05/Sep/2023:12:46:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:12 +0900] "GET /BookMarket/books HTTP/1.1" 200 5708
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:12 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:24 +0900] "GET /BookMarket/books HTTP/1.1" 200 5708
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:24 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:30 +0900] "GET /BookMarket/books/book?id=ISBN9876 HTTP/1.1" 200 3773
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:30 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:30 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:33 +0900] "POST /BookMarket/cart/add/ISBN9876 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:37 +0900] "GET /BookMarket/login HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:37 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:40 +0900] "POST /BookMarket/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:40 +0900] "GET /BookMarket/books/add HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:40 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:44 +0900] "GET /BookMarket/books HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:44 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:47 +0900] "GET /BookMarket/books/book?id=ISBN9875 HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:47 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:47 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:51 +0900] "POST /BookMarket/cart/add/ISBN9875 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:53 +0900] "GET /BookMarket/books HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:53 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:55 +0900] "GET /BookMarket/books/book?id=ISBN9876 HTTP/1.1" 200 4270
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:55 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:55 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:47:57 +0900] "POST /BookMarket/cart/add/ISBN9876 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:48:00 +0900] "GET /BookMarket/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:48:00 +0900] "GET /BookMarket/cart/3F3774EFE0A50FB48A5E95CF44D0BB55 HTTP/1.1" 200 4395
0:0:0:0:0:0:0:1 - - [05/Sep/2023:12:48:00 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
