127.0.0.1 - - [11/Sep/2023:10:07:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:33 +0900] "GET /BookMarket/books HTTP/1.1" 200 5708
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:33 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:36 +0900] "GET /BookMarket/books HTTP/1.1" 200 5708
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:36 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:40 +0900] "GET /BookMarket/login HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:40 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:44 +0900] "POST /BookMarket/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:45 +0900] "GET /BookMarket/books/add HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:45 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:51 +0900] "GET /BookMarket/books HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:51 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:53 +0900] "GET /BookMarket/books/book?id=ISBN9876 HTTP/1.1" 200 4270
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:53 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:53 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:57 +0900] "POST /BookMarket/cart/add/ISBN9876 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:59 +0900] "GET /BookMarket/books HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:07:59 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:08:00 +0900] "GET /BookMarket/books/book?id=ISBN9875 HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:08:01 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [11/Sep/2023:10:08:01 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
